1,1,1
2,2,1
3,3,1
4,4,1
5585,4,2
5,5,1
6,6,1
9043,6,2
7,7,1
2903,7,2
8,8,1
9,9,1
4509,9,2
10,10,1
11,11,1
3383,11,2
12,12,1
13,13,1
14,14,1
3071,14,2
15,15,1
16,16,1
17,17,1
7959,17,2
18,18,1
19,19,1
20,20,1
21,21,1
6418,21,2
22,22,1
3416,22,2
6169,22,3
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,1
8970,28,2
29,29,1
2750,29,2
30,30,1
786,30,2
31,31,1
32,32,1
33,33,1
7367,33,2
34,34,1
9464,34,2
35,35,1
36,36,1
37,37,1
38,38,1
39,39,1
7826,39,2
40,40,1
41,41,1
42,42,1
1495,42,2
43,43,1
44,44,1
45,45,1
46,46,1
47,47,1
48,48,1
5403,48,2
8322,48,3
49,49,1
8742,49,2
50,50,1
51,51,1
9130,51,2
52,52,1
53,53,1
991,53,2
5303,53,3
54,54,1
2330,54,2
55,55,1
56,56,1
57,57,1
58,58,1
59,59,1
2785,59,2
60,60,1
61,61,1
62,62,1
63,63,1
4294,63,2
64,64,1
65,65,1
66,66,1
67,67,1
68,68,1
5131,68,2
5814,68,3
6934,68,4
9266,68,5
69,69,1
70,70,1
7377,70,2
71,71,1
246,71,2
72,72,1
73,73,1
74,74,1
2841,74,2
6528,74,3
9735,74,4
75,75,1
76,76,1
185,76,2
77,77,1
78,78,1
79,79,1
80,80,1
81,81,1
82,82,1
3780,82,2
83,83,1
84,84,1
85,85,1
9184,85,2
86,86,1
87,87,1
88,88,1
1492,88,2
89,89,1
90,90,1
91,91,1
1048,91,2
92,92,1
93,93,1
2617,93,2
94,94,1
95,95,1
4444,95,2
96,96,1
7995,96,2
97,97,1
2136,97,2
98,98,1
6640,98,2
99,99,1
9305,99,2
100,100,1
6435,100,2
101,101,1
102,102,1
103,103,1
1157,103,2
2447,103,3
104,104,1
105,105,1
106,106,1
107,107,1
108,108,1
109,109,1
6853,109,2
8333,109,3
110,110,1
111,111,1
9146,111,2
112,112,1
2609,112,2
5033,112,3
113,113,1
114,114,1
115,115,1
8262,115,2
116,116,1
117,117,1
118,118,1
119,119,1
3896,119,2
120,120,1
2458,120,2
5447,120,3
7878,120,4
121,121,1
122,122,1
123,123,1
124,124,1
1970,124,2
125,125,1
126,126,1
2050,126,2
127,127,1
128,128,1
129,129,1
130,130,1
131,131,1
132,132,1
133,133,1
134,134,1
135,135,1
388,135,2
136,136,1
2190,136,2
137,137,1
138,138,1
139,139,1
140,140,1
141,141,1
142,142,1
143,143,1
144,144,1
4699,144,2
8055,144,3
145,145,1
146,146,1
147,147,1
148,148,1
149,149,1
150,150,1
151,151,1
152,152,1
153,153,1
2786,153,2
9170,153,3
154,154,1
155,155,1
6072,155,2
156,156,1
648,156,2
157,157,1
158,158,1
159,159,1
160,160,1
161,161,1
4370,161,2
162,162,1
163,163,1
164,164,1
165,165,1
166,166,1
5826,166,2
167,167,1
168,168,1
652,168,2
7831,168,3
169,169,1
170,170,1
171,171,1
172,172,1
9604,172,2
173,173,1
174,174,1
1613,174,2
3902,174,3
175,175,1
176,176,1
177,177,1
178,178,1
5950,178,2
179,179,1
180,180,1
181,181,1
182,182,1
183,183,1
184,184,1
186,185,1
1567,185,2
187,186,1
188,187,1
189,188,1
190,189,1
191,190,1
192,191,1
193,192,1
5317,192,2
6211,192,3
194,193,1
195,194,1
196,195,1
197,196,1
198,197,1
199,198,1
200,199,1
201,200,1
5590,200,2
202,201,1
203,202,1
2675,202,2
204,203,1
205,204,1
5275,204,2
206,205,1
207,206,1
208,207,1
209,208,1
210,209,1
211,210,1
212,211,1
213,212,1
4122,212,2
5977,212,3
8415,212,4
214,213,1
215,214,1
216,215,1
217,216,1
218,217,1
219,218,1
5660,218,2
220,219,1
221,220,1
222,221,1
3212,221,2
223,222,1
224,223,1
225,224,1
226,225,1
227,226,1
333,226,2
228,227,1
229,228,1
230,229,1
231,230,1
232,231,1
233,232,1
234,233,1
235,234,1
236,235,1
237,236,1
238,237,1
239,238,1
240,239,1
241,240,1
242,241,1
243,242,1
244,243,1
1921,243,2
245,244,1
649,244,2
247,245,1
248,246,1
249,247,1
250,248,1
251,249,1
1562,249,2
252,250,1
8392,250,2
253,251,1
254,252,1
255,253,1
3209,253,2
7589,253,3
256,254,1
257,255,1
258,256,1
6303,256,2
259,257,1
260,258,1
261,259,1
5809,259,2
262,260,1
5871,260,2
263,261,1
264,262,1
7732,262,2
265,263,1
266,264,1
267,265,1
268,266,1
269,267,1
270,268,1
271,269,1
272,270,1
273,271,1
9576,271,2
274,272,1
275,273,1
276,274,1
277,275,1
3495,275,2
6061,275,3
278,276,1
279,277,1
280,278,1
9512,278,2
281,279,1
282,280,1
283,281,1
284,282,1
285,283,1
286,284,1
287,285,1
2976,285,2
